arrondissement,n_rows,n_meters,total_hourly,area_km2,area_share_pct,meters_share_pct,hourly_share_pct,meter_vs_area_gap_pct,meters_vs_hourly_gap_pct
10,19478,2,4300805,2.9,3.7%,2.1%,5.7%,-1.7%,-3.6%
5,19766,2,2524418,2.5,3.3%,2.1%,3.3%,-1.2%,-1.3%
17,38211,4,1405809,5.7,7.3%,4.1%,1.9%,-3.2%,+2.3%
4,38942,4,4966579,1.6,2.1%,4.1%,6.6%,+2.1%,-2.5%
3,39031,4,8507660,1.2,1.5%,4.1%,11.3%,+2.6%,-7.2%
1,39246,4,2753128,1.8,2.4%,4.1%,3.6%,+1.8%,+0.5%
8,39291,4,3419516,3.9,5.0%,4.1%,4.5%,-0.9%,-0.4%
11,48743,5,7715781,3.7,4.7%,5.2%,10.2%,+0.4%,-5.1%
20,48847,5,1619717,6.0,7.7%,5.2%,2.1%,-2.5%,+3.0%
7,68479,7,7165960,4.1,5.3%,7.2%,9.5%,+1.9%,-2.3%
19,78116,8,6701613,6.8,8.7%,8.2%,8.9%,-0.5%,-0.6%
14,88045,9,4021092,5.6,7.2%,9.3%,5.3%,+2.0%,+3.9%
15,97421,10,5690348,8.5,10.9%,10.3%,7.5%,-0.6%,+2.8%
13,127527,13,7874734,7.2,9.2%,13.4%,10.4%,+4.2%,+3.0%
12,156088,16,6764915,16.3,21.0%,16.5%,9.0%,-4.5%,+7.5%
