arrondissement,n_rows,n_meters,total_hourly,area_km2,area_share_pct,meters_share_pct,hourly_share_pct,meter_vs_area_gap_pct,meters_vs_hourly_gap_pct,arrondissement_label,coverage_status
1,39246,4,2753128,1.83,1.7369020501138952,4.123711340206185,3.649810773467388,2.38680929009229,0.4739005667387972,1e,Over-covered
2,0,0,0,0.99,0.939635535307517,0.0,0.0,-0.939635535307517,0.0,2e,No data
3,39031,4,8507660,1.17,1.1104783599088837,4.123711340206185,11.278570820171657,3.0132329802973015,-7.154859479965472,3e,Under-covered
4,38942,4,4966579,1.6,1.518602885345482,4.123711340206185,6.5841739074525,2.6051084548607033,-2.4604625672463145,4e,Under-covered
5,19766,2,2524418,2.54,2.4107820804859523,2.0618556701030926,3.3466108416081624,-0.34892641038285976,-1.2847551715050698,5e,Under-covered
6,0,0,0,2.15,2.0406226271829913,0.0,0.0,-2.0406226271829913,0.0,6e,No data
7,68479,7,7165960,4.09,3.881928625664388,7.216494845360824,9.499884498736115,3.334566219696436,-2.2833896533752913,7e,Under-covered
8,39291,4,3419516,3.88,3.6826119969627937,4.123711340206185,4.5332386786390275,0.4410993432433914,-0.4095273384328424,8e,Under-covered
9,0,0,0,2.18,2.0690964312832194,0.0,0.0,-2.0690964312832194,0.0,9e,No data
10,19478,2,4300805,2.89,2.7429764616552768,2.0618556701030926,5.701559979624053,-0.6811207915521842,-3.63970430952096,10e,Under-covered
11,48743,5,7715781,3.67,3.4832953682611993,5.154639175257731,10.22877999842905,1.671343806996532,-5.074140823171319,11e,Under-covered
12,156088,16,6764915,16.3,15.470766894457096,16.49484536082474,8.968220746943526,1.0240784663676443,7.526624613881214,12e,Over-covered
13,127527,13,7874734,7.15,6.786256643887622,13.402061855670103,10.439503354508012,6.615805211782481,2.962558501162091,13e,Over-covered
14,88045,9,4021092,5.62,5.334092634776005,9.278350515463918,5.330745574743901,3.944257880687913,3.9476049407200176,14e,Over-covered
15,97421,10,5690348,8.48,8.048595292331056,10.309278350515463,7.543671574724678,2.260683058184407,2.7656067757907845,15e,Over-covered
16,0,0,0,16.37,15.537205770690962,0.0,0.0,-15.537205770690962,0.0,16e,No data
17,38211,4,1405809,5.67,5.381548974943052,4.123711340206185,1.8636753662152339,-1.257837634736867,2.2600359739909512,17e,Over-covered
18,0,0,0,6.01,5.704252088078967,0.0,0.0,-5.704252088078967,0.0,18e,No data
19,78116,8,6701613,6.79,6.44457099468489,8.24742268041237,8.884301538834773,1.8028516857274806,-0.6368788584224028,19e,Under-covered
20,48847,5,1619717,5.98,5.675778283978739,5.154639175257731,2.1472523459019257,-0.521139108721008,3.0073868293558057,20e,Over-covered
